Time,Numerical,Analytical,Relative Error
0.206,0.8139168496,0.8138330763,0.0001029366824
0.207,0.8131037458,0.81301965,0.0001034364009
0.208,0.8122914544,0.8122070367,0.0001039361196
0.209,0.8114799744,0.8113952356,0.0001044358386
0.21,0.8106693051,0.810584246,0.0001049355578
0.211,0.8098594456,0.8097740669,0.0001054352773
0.212,0.8090503952,0.8089646976,0.000105934997
0.213,0.8082421531,0.8081561372,0.000106434717
0.214,0.8074347184,0.807348385,0.0001069344372
0.215,0.8066280903,0.8065414402,0.0001074341577
0.216,0.805822268,0.8057353019,0.0001079338784
0.217,0.8050172508,0.8049299693,0.0001084335994
0.218,0.8042130377,0.8041254417,0.0001089333206
0.219,0.8034096281,0.8033217182,0.0001094330421
0.22,0.8026070211,0.802518798,0.0001099327638
0.221,0.8018052159,0.8017166803,0.0001104324858
0.222,0.8010042116,0.8009153643,0.000110932208
0.223,0.8002040076,0.8001148493,0.0001114319305
0.224,0.799404603,0.7993151344,0.0001119316532
0.225,0.798605997,0.7985162188,0.0001124313762
0.226,0.7978081888,0.7977181017,0.0001129310994
0.227,0.7970111777,0.7969207823,0.0001134308229
0.228,0.7962149627,0.7961242598,0.0001139305466
0.229,0.7954195432,0.7953285335,0.0001144302705
0.23,0.7946249182,0.7945336025,0.0001149299948
0.231,0.7938310872,0.793739466,0.0001154297192
0.232,0.7930380491,0.7929461233,0.000115929444
0.233,0.7922458033,0.7921535735,0.0001164291689
0.234,0.791454349,0.7913618159,0.0001169288941
0.235,0.7906636853,0.7905708496,0.0001174286196
0.236,0.7898738115,0.7897806739,0.0001179283453
0.237,0.7890847267,0.788991288,0.0001184280713
0.238,0.7882964303,0.7882026911,0.0001189277975
0.239,0.7875089214,0.7874148824,0.000119427524
0.24,0.7867221992,0.7866278611,0.0001199272507
0.241,0.7859362629,0.7858416264,0.0001204269777
0.242,0.7851511118,0.7850561776,0.0001209267049
0.243,0.7843667451,0.7842715138,0.0001214264323
0.244,0.7835831619,0.7834876343,0.00012192616
0.245,0.7828003615,0.7827045382,0.000122425888
0.246,0.7820183432,0.7819222249,0.0001229256162
0.247,0.7812371061,0.7811406935,0.0001234253447
0.248,0.7804566494,0.7803599433,0.0001239250734
0.249,0.7796769725,0.7795799734,0.0001244248024
0.25,0.7788980744,0.7788007831,0.0001249245316
0.251,0.7781199544,0.7780223716,0.000125424261
